Kumulace čtvrtletí,"ČR, kraje",Ukazatel,value
Q1-Q3 2024,Karlovarský kraj,Počet obyvatel na počátku období - celkem,295077
Q1-Q3 2024,Karlovarský kraj,Počet obyvatel na počátku období - muži,143579
Q1-Q3 2024,Karlovarský kraj,Počet obyvatel na počátku období - ženy,151498
Q1-Q3 2024,Karlovarský kraj,Střední stav obyvatel - celkem,293714
Q1-Q3 2024,Karlovarský kraj,Střední stav obyvatel - muži,143131
Q1-Q3 2024,Karlovarský kraj,Střední stav obyvatel - ženy,150583
Q1-Q3 2024,Karlovarský kraj,Počet obyvatel na konci období - celkem,293218
Q1-Q3 2024,Karlovarský kraj,Počet obyvatel na konci období - muži,142948
Q1-Q3 2024,Karlovarský kraj,Počet obyvatel na konci období - ženy,150270
Q1-Q3 2024,Ústecký kraj,Počet obyvatel na počátku období - celkem,811169
Q1-Q3 2024,Ústecký kraj,Počet obyvatel na počátku období - muži,399430
Q1-Q3 2024,Ústecký kraj,Počet obyvatel na počátku období - ženy,411739
Q1-Q3 2024,Ústecký kraj,Střední stav obyvatel - celkem,809158
Q1-Q3 2024,Ústecký kraj,Střední stav obyvatel - muži,398493
Q1-Q3 2024,Ústecký kraj,Střední stav obyvatel - ženy,410665
Q1-Q3 2024,Ústecký kraj,Počet obyvatel na konci období - celkem,808207
Q1-Q3 2024,Ústecký kraj,Počet obyvatel na konci období - muži,397934
Q1-Q3 2024,Ústecký kraj,Počet obyvatel na konci období - ženy,410273
Q1-Q3 2024,Liberecký kraj,Počet obyvatel na počátku období - celkem,450728
Q1-Q3 2024,Liberecký kraj,Počet obyvatel na počátku období - muži,220938
Q1-Q3 2024,Liberecký kraj,Počet obyvatel na počátku období - ženy,229790
Q1-Q3 2024,Liberecký kraj,Střední stav obyvatel - celkem,449585
Q1-Q3 2024,Liberecký kraj,Střední stav obyvatel - muži,220604
Q1-Q3 2024,Liberecký kraj,Střední stav obyvatel - ženy,228981
Q1-Q3 2024,Liberecký kraj,Počet obyvatel na konci období - celkem,449261
Q1-Q3 2024,Liberecký kraj,Počet obyvatel na konci období - muži,220613
